bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,yr_built,yr_renovated,lat,long,price
3,2.5,2542,14584,1.5,0,2,3,8,2008,2013,47.780550255662384,-121.58859271686181,1339710
6,2.5,1925,9814,1.5,0,2,4,6,1913,0,47.22570513242737,-121.98777147463447,962052
4,2.0,1617,6458,2.0,0,0,5,8,1992,2010,47.249462943310355,-122.34267693821235,1094847
4,3.0,5031,1811,3.0,0,0,4,9,1934,0,47.111807027214404,-121.87218570331245,1524885
3,2.5,1290,4901,2.0,0,2,3,7,1949,2022,47.60729126904092,-121.90779981999148,977081
3,4.0,1478,2883,2.0,0,0,4,8,1908,2015,47.55086628540533,-122.47304524020187,1020658
2,2.5,4894,3483,1.0,0,1,5,8,2010,0,47.22464580682731,-122.40940559425243,1801183
5,1.5,1192,3379,1.0,0,0,4,8,2017,2001,47.65380147587945,-122.343218644859,1156087
4,2.5,1373,1844,2.0,0,3,4,8,1995,1999,47.30943685429221,-122.36371092243813,1212026
4,2.0,1679,694,1.0,0,0,3,6,1958,2014,47.19449689853145,-122.24053422943906,1018782
2,2.5,2752,2519,1.5,1,3,3,11,1955,0,47.39579386551355,-122.04589467676443,1586157
6,1.5,2006,5963,2.0,0,1,4,9,1990,0,47.1636788938988,-122.12828370210102,1201562
5,2.0,947,1276,1.0,0,0,5,4,1909,2010,47.284270559391274,-121.60935010859541,607366
3,3.5,1385,4992,1.5,0,1,4,9,1924,2002,47.35993335089914,-121.88789059059366,965408
3,2.0,1334,32868,2.0,0,0,4,9,2012,0,47.696304922159904,-121.62385565003815,1103645
3,3.0,1739,13671,2.0,0,0,3,4,1944,2008,47.654784118905255,-121.9729606750824,874450
3,2.0,2237,25426,3.0,0,0,3,7,1996,0,47.40992800002543,-122.41012952931067,1192100
4,2.5,2228,7267,2.0,1,0,4,8,1910,2002,47.60720254042667,-122.03671255093357,1259345
3,2.5,743,15795,2.0,0,4,3,8,2000,0,47.498054745325305,-121.67796745315763,1132243
3,2.5,3077,2382,3.0,0,0,4,9,1908,0,47.338589298554645,-122.3058962328329,1305473
4,2.0,2051,2580,2.0,1,2,3,8,1906,0,47.6081120404467,-122.40878572124736,1393469
3,2.0,3612,317,1.0,0,0,4,6,1970,0,47.57844940812646,-122.17056526166174,1421867
3,1.0,2257,16093,1.0,0,1,4,12,1933,0,47.53336610953552,-122.11110216935987,1229266
3,2.0,3135,22932,2.0,0,0,4,7,1982,0,47.53256886473027,-122.1937423235941,1332622
4,2.5,2283,2826,2.0,0,2,3,9,1919,0,47.57808739462888,-122.36475921437544,1230533
5,3.5,3544,3812,2.0,0,2,4,6,2013,0,47.36918185884978,-122.24916014027829,1615537
3,3.5,2347,2312,2.0,0,2,5,7,2005,2001,47.70835307054739,-121.8177175953979,1356059
4,3.0,1721,7205,2.0,0,0,4,8,1988,0,47.21361549184752,-122.11407148370684,1116233
4,3.0,5631,15137,3.0,0,2,2,7,1904,0,47.7187198242674,-121.86745055538144,1730211
2,2.5,2820,860,2.0,0,0,1,8,2011,1989,47.3395972901224,-121.96369622008126,1207671
4,2.0,2408,7401,1.0,0,0,3,6,1992,2015,47.187522130926034,-121.95094706014233,976772
3,3.5,955,3726,2.5,0,1,3,8,1954,1995,47.52001918187539,-122.2514504420522,999115
2,2.5,949,5504,1.5,0,1,4,9,1990,0,47.36319066834928,-121.97845696723182,916753
6,2.5,2093,7777,2.0,0,1,4,5,1988,2008,47.67084980897246,-122.4764052861368,1306035
6,1.5,1944,4071,3.0,0,2,3,10,2000,2022,47.401549827970136,-122.06825625767507,1415111
5,2.0,1330,4431,2.0,0,0,3,7,1914,0,47.567993767893476,-121.92737717681008,802427
3,2.5,1940,3968,2.0,0,0,3,7,2017,2021,47.315780592653375,-122.3180043786459,1130789
2,3.5,4001,12968,2.0,0,0,5,9,1947,0,47.24661666251774,-122.24344149375105,1425406
4,2.5,2559,7470,1.5,0,2,4,8,1903,0,47.371634321664175,-122.28046898018438,1140664
3,2.0,1021,6127,1.5,0,1,4,8,1977,0,47.5247654842217,-122.42944204473457,1010063
3,4.0,1709,1378,2.0,0,0,3,6,2019,1990,47.55986271744794,-122.1521426788599,1239941
4,1.5,1208,3365,2.0,0,2,4,10,2012,0,47.504744665708614,-121.52103423354806,1215342
2,2.0,1489,12072,2.0,0,1,3,8,1980,0,47.79163900303687,-122.14611959353638,1080112
6,1.0,1470,5103,1.0,0,1,3,6,1920,0,47.583763130546615,-122.03946337816302,945693
3,3.0,1423,9504,2.0,0,1,4,8,1979,0,47.75206373931784,-121.84691274904363,1095846
4,3.5,965,28753,2.0,0,1,4,10,1989,0,47.18255323642662,-121.8515022488309,987775
3,2.0,1696,13885,2.0,0,2,3,8,1908,1980,47.14296105086944,-121.55010501998137,704222
4,3.5,1366,5394,2.0,0,0,3,6,1965,0,47.31769629140837,-121.64243585960088,961645
4,2.0,417,2948,2.0,0,0,3,8,2006,2022,47.1956122568635,-121.70604931289485,811567
3,3.5,5046,382,2.0,0,0,3,7,1978,0,47.468107969759785,-121.54837277422169,1551884
6,3.0,3116,4153,2.0,0,1,4,8,1934,0,47.463286877466295,-122.26923461451683,1422493
5,3.0,1497,3547,2.5,0,3,5,10,1987,0,47.50253301651077,-121.88294580537821,1301662
6,1.0,1825,7261,1.0,1,1,2,8,2011,0,47.62165951658175,-121.61280323327784,1466215
5,4.0,1006,4213,3.0,0,0,3,8,2016,0,47.77993079014862,-121.8758618417219,1161375
4,3.0,4221,3567,1.0,1,2,3,11,1950,1980,47.7147810840074,-121.52257952539313,1917862
6,2.0,4668,829,1.0,0,3,4,8,2017,1999,47.182857067702905,-122.39964728609363,1800941
2,3.0,1955,1919,2.5,0,3,3,8,2001,0,47.33695958213946,-122.0606694972068,1254282
3,2.0,3016,7916,1.0,0,1,4,7,1977,0,47.27907611753363,-121.52263709209136,1274464
2,3.5,1973,27334,2.0,0,3,3,8,2000,0,47.22377215044585,-122.12043197143008,1203623
3,1.5,926,4458,2.5,0,0,4,8,1936,2008,47.481307413659046,-121.7604436249007,764852
3,3.0,1471,6821,2.5,0,0,5,8,1905,2002,47.48728508142291,-122.46959709892135,995148
3,2.5,1931,12739,3.0,0,0,5,13,1981,0,47.25907137952164,-121.80516288536968,1233586
5,1.5,1440,2184,1.5,0,2,5,10,1985,0,47.59832807521468,-121.56537326747242,1181055
3,2.0,1620,7092,2.0,0,0,4,9,1981,2019,47.613040009418654,-122.11729371481,1120492
3,1.0,1727,2343,1.0,0,1,5,8,1950,0,47.114685996383756,-122.47870016207307,996197
4,2.5,1736,11670,2.0,0,1,3,8,1965,0,47.37703039260562,-122.47209019560452,1051349
3,2.0,1855,5718,2.5,0,0,3,7,1995,0,47.723098448841135,-121.60797669428891,1049655
5,2.5,1063,6623,1.5,0,3,1,7,1916,1984,47.464223025770686,-121.77748389290373,771679
2,2.0,1263,2247,2.0,0,0,4,9,2023,2021,47.3433394610073,-122.39331361577342,1070705
6,2.0,951,9966,2.0,1,0,5,8,1964,2023,47.277573306116594,-122.44540972294881,1196850
5,3.0,2948,39525,2.0,1,2,3,10,1908,2001,47.2703481639428,-121.69517463638452,1528369
3,1.0,630,1793,3.0,0,0,4,6,1912,0,47.169837623695564,-121.69013936719465,450111
2,3.5,3218,3499,1.0,0,2,4,8,1999,0,47.672058493365164,-122.37947816020795,1575003
5,3.5,3616,6195,2.0,0,3,5,9,2000,0,47.160660183775924,-122.19847959611137,1548957
4,2.5,1554,10790,2.5,0,4,4,8,1957,2022,47.30460633610327,-121.71997393542611,1146717
4,2.5,491,2808,2.0,0,3,5,10,1929,1995,47.13197301699645,-121.974587929046,830340
5,3.5,1509,289,1.0,0,0,3,13,1930,0,47.64697059880659,-121.5434151392747,1140589
2,2.0,1750,19133,2.0,0,1,3,6,1922,0,47.127498577558754,-122.018937354654,813995
3,1.5,1090,10514,1.5,0,0,4,6,1962,0,47.31581077270775,-121.82304206243448,789991
3,2.0,1397,860,1.0,0,0,3,6,2013,2022,47.50130815906066,-121.99021663425842,930844
5,3.0,3885,2676,2.5,0,0,1,9,1927,0,47.38669295220541,-121.55703450431496,1339210
4,1.0,2521,23580,2.0,0,0,4,8,1958,0,47.29758974707437,-122.1013409079324,1056821
3,2.5,1138,20906,3.0,0,3,4,9,1909,0,47.29263235069928,-122.2702035448214,985275
2,4.0,813,12564,2.5,1,0,4,8,1988,0,47.65845321420437,-122.17336613971901,1251668
3,3.5,1535,4121,2.0,0,1,3,9,2023,2016,47.781784666561066,-121.64722479583477,1210663
3,2.5,1625,5340,1.0,0,1,4,9,1999,2023,47.343628749314156,-122.00206143648786,1138160
4,1.5,2317,4311,2.0,0,1,3,8,1989,2018,47.127401859526316,-122.14574769649776,1096466
4,3.0,1383,15187,1.0,0,4,1,8,1925,1997,47.12559604453638,-121.95573997819052,1040908
5,2.5,2334,2047,3.0,0,0,4,6,2008,1980,47.631449390647504,-122.36677029272316,1297181
4,1.5,4757,2195,1.0,0,1,3,8,1976,1983,47.48665887512639,-122.4946406953744,1646355
3,1.5,2718,13497,1.5,0,1,2,8,1916,0,47.64851486019213,-122.21941531630651,1136263
4,3.5,1765,4701,2.0,0,0,4,8,1939,1995,47.588247907202,-121.89499428021645,1083054
5,2.5,1649,19505,1.5,0,1,1,11,1967,0,47.735254444485776,-121.78831923033862,1227743
4,3.0,1512,2511,1.0,0,3,5,11,1922,1991,47.720077003732634,-121.67338903364804,1253667
5,3.5,3262,4652,2.0,0,0,4,10,1934,0,47.651829176934825,-121.57333644060553,1454784
4,2.5,1321,1953,1.0,0,0,5,8,1974,0,47.4326324120295,-122.08788765303524,957707
4,2.5,1849,4951,1.0,0,0,2,9,1975,2007,47.315688485322696,-121.75948320044255,1076807
3,2.0,1854,1120,1.5,0,2,4,8,1908,2014,47.454918751211245,-122.42532706980194,1034299
2,2.0,1406,3018,2.0,0,2,3,7,1978,0,47.45145012512388,-122.44247000122792,1080968
3,2.0,910,1168,2.0,0,1,4,7,1944,0,47.527192884222536,-122.37520200801384,1007293
2,3.0,2124,9837,2.0,0,1,3,6,1936,2016,47.230268297448035,-122.05143090216924,901202
4,2.5,1753,10062,2.0,0,3,3,7,1968,1994,47.55893391631149,-122.28871856150126,1178044
3,3.5,2321,871,1.5,0,2,5,8,1918,0,47.41962064694407,-122.21307505806219,1162913
4,2.0,1384,18655,3.0,0,3,3,12,1974,1984,47.5341433823586,-121.8521198264877,1233281
6,2.5,3328,59719,1.0,0,3,1,7,1972,0,47.26772337604368,-122.14147782119716,1475347
3,2.5,1166,5146,2.0,0,1,3,11,1998,0,47.404076425714145,-121.94262844228197,1055282
3,2.5,4255,2588,2.5,0,1,4,7,2013,2012,47.247140850116764,-122.0875962432634,1526994
5,3.0,754,82812,2.5,1,3,3,7,1926,0,47.71271360972976,-122.33103074448017,1349975
3,2.0,2247,1314,1.0,0,4,3,8,1912,0,47.44157273152908,-122.42598000974411,1246026
2,2.5,2293,5014,1.5,0,0,2,9,1956,0,47.25748699090167,-122.2637685046901,1054065
3,1.5,1214,5881,2.0,0,0,4,5,1959,0,47.128846087019085,-122.44229953050896,758472
3,2.0,2235,18866,1.0,0,4,4,7,1911,0,47.57301706525748,-121.8813880401102,1199205
6,2.5,3428,7042,2.5,0,0,3,8,1908,0,47.25025129979283,-121.7042823985339,1265345
5,2.5,596,2985,2.0,0,3,3,7,2005,0,47.79270753462314,-122.1602592317626,1246681
4,4.0,2324,1898,2.0,0,0,2,9,1991,0,47.47359026139062,-122.11288894464764,1368320
5,2.5,519,3491,1.0,0,0,3,8,1976,0,47.30228389737362,-121.6838089372407,752673
5,3.0,1115,1795,2.0,0,0,3,6,1983,0,47.56037420365484,-122.27738708762644,1112351
3,2.5,4082,5155,2.0,0,0,4,10,2015,1985,47.29265394640666,-122.38083973480512,1610238
5,2.5,1351,2795,2.5,0,0,4,7,1976,1981,47.67419200573682,-121.99888188266891,997213
4,1.5,1005,1103,1.0,0,1,5,9,1926,0,47.31576523565096,-121.85380983046676,863819
5,2.0,1637,17242,1.0,1,2,2,9,1989,1984,47.79177341267713,-121.90034557495352,1594054
5,2.0,5084,2987,1.5,0,4,4,12,1962,2023,47.523601349811706,-121.78612695472582,1997300
3,2.5,723,1382,1.0,0,1,4,8,1992,2018,47.691087804259865,-122.44324881782697,1091768
